epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2758,2.02044,4.41813,1.67231,0.23557,0.30896,0.10762,0.06738,1.4865,5.44155,1.3459,6.672e-05,6.672e-05,6.672e-05
2,53.6674,1.36041,2.22475,1.2087,0.18719,0.63715,0.2552,0.13968,1.59227,5.22401,1.35651,0.000134871,0.000134871,0.000134871
3,70.1085,1.29337,1.77287,1.18817,0.26424,0.6931,0.38503,0.24215,1.2132,2.25462,1.21324,0.000201647,0.000201647,0.000201647
4,87.4824,1.27758,1.62369,1.16967,0.37144,0.78789,0.47105,0.28956,1.25331,1.49754,1.22677,0.000267046,0.000267046,0.000267046
5,104.794,1.25714,1.49881,1.15532,0.38755,0.77022,0.48473,0.30235,1.21096,1.40619,1.21972,0.000266991,0.000266991,0.000266991
6,121.659,1.23439,1.4243,1.15672,0.42526,0.86058,0.4784,0.29646,1.22026,1.31925,1.19174,0.000264239,0.000264239,0.000264239
7,138.402,1.20419,1.37313,1.13515,0.41738,0.82169,0.49561,0.31455,1.20309,1.3123,1.19643,0.000261487,0.000261487,0.000261487
8,155.097,1.19622,1.32011,1.12932,0.42999,0.84491,0.54242,0.35741,1.13727,1.26783,1.17472,0.000258735,0.000258735,0.000258735
9,171.914,1.15723,1.25246,1.11103,0.44558,0.87495,0.52685,0.33746,1.15569,1.23744,1.16709,0.000255982,0.000255982,0.000255982
10,188.947,1.19761,1.2504,1.12572,0.46223,0.90072,0.529,0.34449,1.13567,1.18542,1.16179,0.00025323,0.00025323,0.00025323
11,205.679,1.15869,1.22655,1.11331,0.52558,0.85208,0.66432,0.42,1.20191,1.08809,1.16729,0.000250478,0.000250478,0.000250478
12,222.511,1.14504,1.18393,1.09929,0.45386,0.8861,0.519,0.33244,1.18473,1.21527,1.17015,0.000247726,0.000247726,0.000247726
13,239.42,1.15237,1.15143,1.10944,0.49081,0.86677,0.59515,0.37274,1.26737,1.16378,1.18539,0.000244974,0.000244974,0.000244974
14,255.953,1.15776,1.15517,1.1107,0.42915,0.88489,0.48863,0.31028,1.23335,1.27247,1.19471,0.000242221,0.000242221,0.000242221
15,272.602,1.11928,1.08893,1.0855,0.46462,0.86231,0.5702,0.36847,1.14951,1.21542,1.15404,0.000239469,0.000239469,0.000239469
16,289.711,1.14131,1.06124,1.10143,0.79953,0.83194,0.86726,0.57799,1.10378,0.82008,1.13872,0.000236717,0.000236717,0.000236717
17,306.578,1.1166,1.02813,1.08325,0.55213,0.77004,0.64711,0.43485,1.12832,1.09237,1.14336,0.000233965,0.000233965,0.000233965
18,323.262,1.08752,1.01531,1.06983,0.44526,0.83788,0.55113,0.36746,1.1465,1.25667,1.16055,0.000231213,0.000231213,0.000231213
19,340.211,1.12054,1.00346,1.08812,0.55856,0.79565,0.6608,0.43858,1.13296,1.13061,1.13311,0.00022846,0.00022846,0.00022846
20,356.926,1.09889,0.93929,1.08104,0.70469,0.7849,0.76676,0.50801,1.15778,0.96665,1.13558,0.000225708,0.000225708,0.000225708
21,373.508,1.11037,0.97322,1.08845,0.53611,0.74119,0.62464,0.41349,1.15835,1.22379,1.14346,0.000222956,0.000222956,0.000222956
22,390.363,1.11043,0.90117,1.08963,0.58829,0.78477,0.70639,0.47016,1.1436,1.15594,1.13484,0.000220204,0.000220204,0.000220204
23,407.303,1.09441,0.88093,1.07607,0.79283,0.81885,0.8607,0.57637,1.10802,0.83781,1.14167,0.000217452,0.000217452,0.000217452
24,424.094,1.09179,0.83988,1.07862,0.84361,0.84331,0.88119,0.58737,1.11851,0.76745,1.13818,0.000214699,0.000214699,0.000214699
25,441.095,1.09098,0.82013,1.07528,0.77426,0.86989,0.8655,0.58565,1.10754,0.82171,1.12478,0.000211947,0.000211947,0.000211947
26,457.901,1.09803,0.86756,1.08414,0.79285,0.82823,0.85562,0.56846,1.10395,0.84697,1.14368,0.000209195,0.000209195,0.000209195
27,474.556,1.08783,0.81766,1.08246,0.80766,0.86289,0.88132,0.58784,1.10675,0.7818,1.14915,0.000206443,0.000206443,0.000206443
28,491.688,1.05518,0.75511,1.06687,0.75869,0.80008,0.78819,0.51743,1.14313,1.02304,1.14509,0.000203691,0.000203691,0.000203691
29,508.663,1.07189,0.74485,1.05961,0.73816,0.78258,0.78742,0.51889,1.15287,0.99669,1.15459,0.000200938,0.000200938,0.000200938
30,525.312,1.07588,0.75174,1.07594,0.68544,0.78092,0.7305,0.48523,1.14666,1.08462,1.13358,0.000198186,0.000198186,0.000198186
31,542.201,1.05894,0.72877,1.06032,0.71327,0.78949,0.80561,0.53997,1.18149,0.92265,1.13695,0.000195434,0.000195434,0.000195434
32,559.152,1.03941,0.75486,1.0563,0.75668,0.82486,0.81915,0.54919,1.09888,0.9376,1.12574,0.000192682,0.000192682,0.000192682
33,575.793,1.06785,0.71165,1.06361,0.7959,0.8666,0.83772,0.56349,1.10814,0.85452,1.13106,0.00018993,0.00018993,0.00018993
34,592.542,1.0199,0.69122,1.04396,0.84744,0.86221,0.85778,0.57678,1.11094,0.8347,1.13056,0.000187177,0.000187177,0.000187177
35,609.409,1.04843,0.70976,1.06544,0.77577,0.81024,0.82531,0.56142,1.10798,0.88116,1.12981,0.000184425,0.000184425,0.000184425
36,626.076,1.01645,0.65815,1.04774,0.72756,0.76016,0.73266,0.49957,1.0894,1.11852,1.11998,0.000181673,0.000181673,0.000181673
37,642.851,1.02753,0.69722,1.05222,0.79579,0.80585,0.81972,0.56713,1.09752,0.8967,1.12273,0.000178921,0.000178921,0.000178921
38,659.825,1.01351,0.65945,1.04346,0.7372,0.78606,0.76249,0.49536,1.15305,1.08606,1.13041,0.000176169,0.000176169,0.000176169
39,676.351,1.0216,0.66953,1.05424,0.81185,0.85291,0.83763,0.55897,1.10434,0.83792,1.14247,0.000173416,0.000173416,0.000173416
40,693.149,1.01247,0.65887,1.04769,0.85489,0.86778,0.85341,0.56985,1.0989,0.80637,1.13197,0.000170664,0.000170664,0.000170664
41,709.951,1.04155,0.64045,1.05116,0.82753,0.84144,0.82127,0.55418,1.08165,0.88878,1.13392,0.000167912,0.000167912,0.000167912
42,726.564,1.01228,0.62746,1.0433,0.85386,0.87127,0.85822,0.57144,1.11042,0.79676,1.14269,0.00016516,0.00016516,0.00016516
43,743.213,1.00115,0.62263,1.03743,0.74704,0.8514,0.82704,0.56961,1.06096,0.88847,1.11351,0.000162408,0.000162408,0.000162408
44,760.096,0.96448,0.59968,1.02341,0.84056,0.86635,0.86963,0.60082,1.06719,0.74152,1.11443,0.000159655,0.000159655,0.000159655
45,776.861,1.00298,0.59831,1.03642,0.88976,0.90095,0.9078,0.61993,1.06956,0.68134,1.12429,0.000156903,0.000156903,0.000156903
46,793.554,0.98685,0.6025,1.02678,0.75599,0.81135,0.78369,0.54074,1.07318,1.0147,1.11422,0.000154151,0.000154151,0.000154151
47,810.436,0.98307,0.60784,1.02332,0.83579,0.83043,0.83488,0.57034,1.08736,0.88121,1.12661,0.000151399,0.000151399,0.000151399
48,826.985,0.97645,0.60719,1.02916,0.82227,0.82717,0.83816,0.56389,1.11735,0.88225,1.12707,0.000148647,0.000148647,0.000148647
49,843.649,0.9779,0.56711,1.02676,0.8534,0.85825,0.86589,0.59282,1.07996,0.78392,1.12451,0.000145894,0.000145894,0.000145894
50,860.555,0.96282,0.57861,1.02014,0.8224,0.8309,0.83582,0.58044,1.07185,0.88444,1.11334,0.000143142,0.000143142,0.000143142
51,877.142,0.94415,0.58502,1.02187,0.76636,0.79072,0.79455,0.54683,1.08746,1.02104,1.11541,0.00014039,0.00014039,0.00014039
52,893.848,0.92274,0.55143,1.00646,0.83159,0.85129,0.86506,0.58699,1.09658,0.82095,1.11895,0.000137638,0.000137638,0.000137638
53,910.733,0.94092,0.56863,1.0058,0.81182,0.85626,0.84464,0.58315,1.06743,0.88176,1.11906,0.000134886,0.000134886,0.000134886
54,927.524,0.93952,0.54899,1.01068,0.85554,0.8649,0.8465,0.58136,1.07752,0.86496,1.13474,0.000132133,0.000132133,0.000132133
55,944.103,0.91404,0.54134,1.0075,0.84301,0.86444,0.82943,0.57184,1.07311,0.91776,1.11981,0.000129381,0.000129381,0.000129381
56,961.033,0.94639,0.53499,1.01065,0.85153,0.85391,0.83601,0.57996,1.07725,0.89248,1.11787,0.000126629,0.000126629,0.000126629
57,977.826,0.90779,0.54948,0.99701,0.84676,0.86467,0.86012,0.59891,1.05278,0.83192,1.11099,0.000123877,0.000123877,0.000123877
58,994.403,0.95984,0.55919,1.01943,0.87509,0.89473,0.89084,0.62173,1.05143,0.72149,1.10622,0.000121125,0.000121125,0.000121125
59,1011.25,0.94255,0.5774,1.01425,0.84734,0.85425,0.83992,0.58416,1.05408,0.86244,1.11189,0.000118372,0.000118372,0.000118372
60,1028.11,0.90126,0.52077,0.99731,0.85823,0.87262,0.87283,0.6092,1.05307,0.76381,1.11303,0.00011562,0.00011562,0.00011562
61,1044.73,0.90008,0.51007,0.99032,0.84911,0.87589,0.87309,0.60586,1.06985,0.76722,1.12009,0.000112868,0.000112868,0.000112868
62,1061.44,0.91974,0.51106,1.00192,0.84906,0.84667,0.85857,0.59227,1.09136,0.84119,1.1205,0.000110116,0.000110116,0.000110116
63,1078.27,0.90802,0.508,0.99736,0.84038,0.85086,0.84151,0.58659,1.05769,0.88041,1.11898,0.000107364,0.000107364,0.000107364
64,1094.98,0.89545,0.50104,0.98761,0.84781,0.85348,0.84654,0.5926,1.04451,0.86022,1.10897,0.000104611,0.000104611,0.000104611
65,1111.62,0.90679,0.49931,0.99401,0.85456,0.86717,0.87,0.60758,1.05754,0.74241,1.11391,0.000101859,0.000101859,0.000101859
66,1128.59,0.87904,0.4917,0.98897,0.82571,0.84123,0.83742,0.5866,1.05504,0.86596,1.11232,9.9107e-05,9.9107e-05,9.9107e-05
67,1145.26,0.88016,0.5033,0.98715,0.82553,0.86503,0.84684,0.58656,1.08387,0.84146,1.12637,9.63548e-05,9.63548e-05,9.63548e-05
68,1161.96,0.90235,0.50864,0.9901,0.80622,0.80877,0.81418,0.56443,1.07819,0.98794,1.11654,9.36026e-05,9.36026e-05,9.36026e-05
69,1178.75,0.87783,0.49898,0.98822,0.83186,0.83345,0.83711,0.58822,1.06123,0.90058,1.10979,9.08504e-05,9.08504e-05,9.08504e-05
70,1195.38,0.89083,0.49983,0.98578,0.80463,0.82766,0.81965,0.5778,1.05779,0.95458,1.105,8.80982e-05,8.80982e-05,8.80982e-05
71,1212.08,0.86908,0.49418,0.98023,0.77607,0.77162,0.77053,0.54275,1.0634,1.11573,1.10467,8.5346e-05,8.5346e-05,8.5346e-05
72,1228.96,0.86749,0.47802,0.97915,0.84313,0.86619,0.85734,0.60141,1.06319,0.78796,1.12604,8.25938e-05,8.25938e-05,8.25938e-05
73,1245.65,0.85992,0.48922,0.97694,0.85981,0.85692,0.87036,0.6111,1.06538,0.76551,1.11772,7.98416e-05,7.98416e-05,7.98416e-05
74,1262.23,0.87249,0.47238,0.97669,0.81069,0.83815,0.83189,0.5853,1.0696,0.9043,1.10941,7.70894e-05,7.70894e-05,7.70894e-05
75,1279.07,0.8795,0.48756,0.98461,0.83311,0.85293,0.83897,0.58984,1.051,0.86723,1.10469,7.43372e-05,7.43372e-05,7.43372e-05
76,1296.08,0.82815,0.45545,0.9665,0.85945,0.85249,0.8535,0.59823,1.05282,0.82958,1.1121,7.1585e-05,7.1585e-05,7.1585e-05
77,1312.68,0.8489,0.47325,0.97423,0.78004,0.82553,0.80672,0.5663,1.04918,0.96581,1.10566,6.88328e-05,6.88328e-05,6.88328e-05
78,1329.49,0.83635,0.49074,0.96934,0.81234,0.83253,0.84285,0.58813,1.05204,0.86543,1.11631,6.60806e-05,6.60806e-05,6.60806e-05
79,1346.48,0.83956,0.46307,0.96647,0.89854,0.90976,0.91554,0.6456,1.03031,0.60849,1.11341,6.33284e-05,6.33284e-05,6.33284e-05
80,1363.39,0.81702,0.45691,0.95852,0.86171,0.84881,0.88722,0.62836,1.03395,0.75631,1.11395,6.05762e-05,6.05762e-05,6.05762e-05
81,1380.15,0.85099,0.46548,0.97119,0.83798,0.85625,0.88126,0.62077,1.04657,0.78647,1.11745,5.7824e-05,5.7824e-05,5.7824e-05
82,1397.08,0.82226,0.45527,0.96157,0.84427,0.85064,0.86583,0.60762,1.07448,0.80698,1.12065,5.50718e-05,5.50718e-05,5.50718e-05
83,1413.81,0.82722,0.44902,0.96302,0.83777,0.83084,0.84532,0.59627,1.05472,0.8762,1.12254,5.23196e-05,5.23196e-05,5.23196e-05
84,1430.54,0.81267,0.45873,0.95471,0.84986,0.83976,0.85596,0.60821,1.03593,0.82451,1.11379,4.95674e-05,4.95674e-05,4.95674e-05
85,1447.44,0.80942,0.43782,0.95717,0.85602,0.85755,0.88018,0.62313,1.03931,0.76252,1.11247,4.68152e-05,4.68152e-05,4.68152e-05
86,1463.93,0.83693,0.46626,0.96639,0.86111,0.85121,0.86464,0.6172,1.0169,0.8036,1.09846,4.4063e-05,4.4063e-05,4.4063e-05
87,1480.57,0.78169,0.44369,0.9513,0.85947,0.8704,0.87632,0.62781,1.01194,0.75952,1.09789,4.13108e-05,4.13108e-05,4.13108e-05
88,1497.43,0.82305,0.44681,0.95795,0.87167,0.88009,0.88096,0.62951,1.01545,0.70853,1.09816,3.85586e-05,3.85586e-05,3.85586e-05
89,1514.11,0.81201,0.43909,0.95634,0.87723,0.87555,0.87935,0.63101,1.01011,0.71124,1.09186,3.58064e-05,3.58064e-05,3.58064e-05
90,1530.79,0.79314,0.43188,0.94828,0.85378,0.87276,0.8642,0.6198,1.02728,0.77093,1.10477,3.30542e-05,3.30542e-05,3.30542e-05
91,1548.74,0.76165,0.38525,0.94912,0.83968,0.86112,0.85969,0.61727,1.02664,0.79912,1.10848,3.0302e-05,3.0302e-05,3.0302e-05
92,1565.14,0.74853,0.37717,0.94429,0.83681,0.86426,0.85277,0.61225,1.02635,0.81481,1.10824,2.75498e-05,2.75498e-05,2.75498e-05
93,1581.32,0.75146,0.37413,0.94898,0.82392,0.87194,0.84731,0.60793,1.02241,0.81996,1.10409,2.47976e-05,2.47976e-05,2.47976e-05
94,1597.65,0.73923,0.37256,0.94333,0.83942,0.85474,0.84797,0.60859,1.02566,0.82253,1.10599,2.20454e-05,2.20454e-05,2.20454e-05
95,1614.07,0.72846,0.36311,0.93761,0.8478,0.85356,0.85328,0.61342,1.01727,0.80975,1.10712,1.92932e-05,1.92932e-05,1.92932e-05
96,1630.27,0.71777,0.36279,0.92929,0.84484,0.85964,0.84834,0.61032,1.02331,0.82309,1.10811,1.6541e-05,1.6541e-05,1.6541e-05
97,1646.48,0.71917,0.36411,0.93042,0.83989,0.85612,0.84632,0.6062,1.02046,0.83972,1.11183,1.37888e-05,1.37888e-05,1.37888e-05
98,1662.92,0.71911,0.3603,0.93847,0.84345,0.85513,0.84874,0.60958,1.02235,0.82413,1.10791,1.10366e-05,1.10366e-05,1.10366e-05
99,1679.16,0.7072,0.35531,0.92212,0.84613,0.85368,0.85227,0.61474,1.0153,0.81475,1.1066,8.2844e-06,8.2844e-06,8.2844e-06
100,1695.38,0.70978,0.36108,0.92784,0.84495,0.85614,0.85458,0.61521,1.01793,0.80619,1.10431,5.5322e-06,5.5322e-06,5.5322e-06
